node_id,straight_link_1,straight_link_2,turn_direction_1,turn_direction_1,turn_link_2,turn_direction_2,item_1,item_2
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
6,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
14,,,,,,,,
16,,,,,,,,
17,,,,,,,,
18,,,,,,,,
19,,,,,,,,
21,,,,,,,,
